,cleared_forest,ever_cleared_forest,date
0,1469.61,1469.61,2013-10-17
1,376.29,1482.75,2016-01-27
2,230.31,1482.75,2016-02-12
3,374.58,1570.68,2016-05-02
4,414.54,1591.29,2016-06-03
5,413.64,1603.44,2016-11-10
6,632.97,1773.09,2017-05-05
7,609.21,1792.26,2017-10-12
8,386.01,1794.15,2017-11-29
9,382.23,1794.42,2017-12-31
10,533.16,1911.87,2018-05-08
11,457.29,1914.66,2018-06-09
12,561.51,1997.01,2018-07-27
13,526.32,1997.01,2018-09-13
14,662.04,2089.35,2018-10-31
15,645.12,2215.98,2019-02-04
16,590.67,2224.17,2019-03-24
17,626.49,2298.87,2019-05-27
18,538.38,2300.76,2019-06-12
19,572.22,2302.83,2019-07-14
20,873.18,2485.8,2019-09-16
21,949.95,2559.15,2019-12-05
22,1027.53,2624.49,2020-01-22
23,1077.3,2680.2,2020-03-10
24,888.75,2695.95,2020-04-11
25,969.21,2714.76,2020-05-13
26,1090.71,2795.4,2020-12-07
27,1233.81,2869.29,2021-01-08
28,1949.4,3295.08,2021-03-13
29,2064.33,3386.88,2021-04-30
30,2044.8,3413.16,2021-06-17
31,2527.56,3781.62,2021-08-04
32,2765.25,3996.09,2021-10-23
33,2599.56,4073.31,2021-11-24
34,2275.83,4087.89,2021-12-10
35,2261.52,4124.61,2022-01-27
36,2598.21,4327.2,2022-05-03
37,2648.79,4959.81,2022-06-12
38,2206.26,4967.28,2022-07-06
39,2281.5,4983.57,2022-08-07
40,2694.15,5078.43,2022-10-26
41,2737.17,5109.66,2022-11-27
42,2583.99,5116.14,2023-01-14
43,2947.59,5245.74,2023-02-23
44,3505.14,5530.59,2023-03-19
45,3564.18,5610.24,2023-04-12
46,3945.51,5776.74,2023-05-06
47,3772.8,5836.95,2023-05-30
48,3719.07,5860.53,2023-07-01
49,4486.41,6286.77,2023-10-05
50,3757.32,6330.6,2023-11-30
51,3529.26,6380.19,2023-12-16
52,3977.01,6576.48,2024-02-02
53,4280.76,6689.34,2024-02-26
54,3979.62,6725.7,2024-04-22
55,4760.55,6944.67,2024-07-27
56,5236.74,7122.69,2024-09-29
57,5341.14,7179.93,2024-10-15
58,3674.61,7197.48,2024-12-18
59,2951.01,7201.89,2025-02-20
60,3436.11,7241.13,2025-03-16
61,2990.61,7241.13,2025-05-27
62,3737.16,7396.29,2025-07-22
